Model_Name,Submodel_Name,Submodel_StartYear,Submodel_EndYear,Submodel_Link
Hyundai Tucson 3rd generation, Hyundai Tucson 3rd-gen. phase-I SUV 2WD,2015,2018,/make/hyundai/tucson_3gen/tucson_3gen_2wd/2017.html
Hyundai Tucson 3rd generation, Hyundai Tucson 3rd-gen. phase-I SUV 4WD,2015,2018,/make/hyundai/tucson_3gen/tucson_3gen_4wd/2017.html
Hyundai Tucson 3rd generation, Hyundai Tucson 3rd-gen. phase-II SUV 2WD,2018,2020,/make/hyundai/tucson_3gen/tucson_3gen_2wd_2/2019.html
Hyundai Tucson 3rd generation, Hyundai Tucson 3rd-gen. phase-II SUV 4WD,2018,2020,/make/hyundai/tucson_3gen/tucson_3gen_4wd_2/2019.html
Alfa Romeo 4C, Alfa Romeo 4C Coupe,2013,2018,/make/alfa_romeo/4c/4c_coupe/2017.html
Alfa Romeo 4C, Alfa Romeo 4C Spider,2015,2020,/make/alfa_romeo/4c/4c_spider/2019.html
Hyundai i20 2nd generation, Hyundai i20 2nd-gen. phase-I 5-Door Hatchback,2015,2018,/make/hyundai/i20_2gen/i20_2_hatchback/2017.html
Hyundai i20 2nd generation, Hyundai i20 2nd-gen. phase-I Coupe (3-Door),2015,2018,/make/hyundai/i20_2gen/i20_2_coupe/2017.html
Hyundai i20 2nd generation, Hyundai i20 2nd-gen. phase-II 5-Door Hatchback,2018,2020,/make/hyundai/i20_2gen/i20_2_hatchback_2/2019.html
Hyundai i20 2nd generation, Hyundai i20 Active phase-I,2016,2018,/make/hyundai/i20_2gen/i20_2_active/2017.html
Hyundai i20 2nd generation, Hyundai i20 Active phase-II,2018,2021,/make/hyundai/i20_2gen/i20_2_active_2/2020.html
Alfa Romeo Giulietta, Alfa Romeo Giulietta phase I Hatchback,2010,2016,/make/alfa_romeo/giulietta_3gen/giulietta_3gen_hatchback/2015.html
Alfa Romeo Giulietta, Alfa Romeo Giulietta phase I Quadrifoglio Verde,2010,2016,/make/alfa_romeo/giulietta_3gen/giulietta_3gen_qv/2015.html
Alfa Romeo Giulietta, Alfa Romeo Giulietta phase II Hatchback,2016,2020,/make/alfa_romeo/giulietta_3gen/giulietta_3gen_hatchback_2/2019.html
Alfa Romeo Giulietta, Alfa Romeo Giulietta phase II Veloce,2016,2018,/make/alfa_romeo/giulietta_3gen/giulietta_3gen_veloce_2/2017.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-I 3-Door Wagon (for export),2007,2011,/make/mitsubishi/pajero_4gen/pajero_4_1_export_3d/2010.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-I 3-Door Wagon (JDM),2006,2011,/make/mitsubishi/pajero_4gen/pajero_4_1_3d/2010.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-I 5-Door Wagon (for export),2007,2011,/make/mitsubishi/pajero_4gen/pajero_4_1_export_5d/2010.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-I 5-Door Wagon (JDM),2006,2011,/make/mitsubishi/pajero_4gen/pajero_4_1_5d/2010.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-II 3-Door Wagon (for export),2011,2014,/make/mitsubishi/pajero_4gen/pajero_4_2_export_3d/2013.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-II 3-Door Wagon (JDM),2011,2014,/make/mitsubishi/pajero_4gen/pajero_4_2_3d/2013.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-II 5-Door Wagon (for export),2011,2014,/make/mitsubishi/pajero_4gen/pajero_4_2_export_5d/2013.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-II 5-Door Wagon (JDM),2011,2014,/make/mitsubishi/pajero_4gen/pajero_4_2_5d/2013.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-III 3-Door Wagon,2014,2018,/make/mitsubishi/pajero_4gen/pajero_4_3_3d/2017.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Pajero 4th-gen. phase-III 5-Door Wagon,2014,2019,/make/mitsubishi/pajero_4gen/pajero_4_3_5d/2018.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Shogun 4th-gen. phase-I 3-Door Wagon,2007,2011,/make/mitsubishi/pajero_4gen/shogun_4_1_3d/2010.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Shogun 4th-gen. phase-I 5-Door Wagon,2007,2011,/make/mitsubishi/pajero_4gen/shogun_4_1_5d/2010.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Shogun 4th-gen. phase-II 3-Door Wagon,2011,2014,/make/mitsubishi/pajero_4gen/shogun_4_2_3d/2013.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Shogun 4th-gen. phase-II 5-Door Wagon,2011,2014,/make/mitsubishi/pajero_4gen/shogun_4_2_5d/2013.html
Mitsubishi Pajero (Shogun) 4th generation, Mitsubishi Shogun 4th-gen. phase-III 3-Door Wagon,2014,2018,/make/mitsubishi/pajero_4gen/shogun_4_3_3d/2017.html
